,compounds,mzs,shortRT,mz,ratios,gro,int,longRT,estC,SS,phenolics,acid,NN,aliph,CO,bs,ord,,,,,,,,,,,,
19.609,,479.174,1.57631554,c(479.173920979347, 480.175812434538),c(1, 0.281705209413286),19,c(10813.6020236547, 3044.25405065197),1.808842972,25,0,3,0,1,0,0,1,599,,,,,,,,,
19.62,,484.139,1.583535593,c(484.13860160833,485.1437739,486.1547682, 487.153213629345),c(1,0.327936211,1.09160621, 0.530174470678301),19,c(7447.66949379525,2444.71633,8132.748366, 3955.61323748634),1.818678706,29,0,4,0,0,0,0,0,611,,,
19.631,,490.153,1.545656661,c(490.152685978818,491.1554885, 492.167433349551),c(1,0.216348444, 0.161291516249879),19,c(20026.9652525391,4333.008191, 3229.27427141506),1.767119988,19,0,1,0,0,0,0,1,622,,,,,,
19.687,,514.124,1.564635413,c(514.124015296889,515.1401172,516.1556679, 517.171509902075),c(1,0.304216109,0.539981264, 0.215893268441299),19,c(12599.9213170989,3830.018138,6799.051889, 2721.17131440378),1.792939635,27,0,3,0,0,0,0,0,681,,,
19.757,,540.146,1.567041665,c(540.14558745457,541.1479682, 542.141719399108),c(1,0.217388714, 0.428060503033262),19,c(36979.7485827324,8042.293363, 15830.5689227879),1.796215093,19,0,1,0,0,0,0,1,752,,,,,,
19.774,,554.153,1.58602178,c(554.152677469199,555.158285, 556.159325716809),c(1,0.341003324, 0.51607903448369),19,c(7906.43862269389,2694.672968, 4082.37384593859),1.822066503,30,0,4,0,0,0,0,0,769,,,,,,
19.794,,562.173,1.568316681,c(562.172708178874, 563.171613282673),c(1, 0.287114097568182),19,c(8445.56413232378, 2424.22867949573),1.797950854,25,0,2,0,0,0,0,1,789,,,,,,,,,
19.82,,570.149,1.573916182,c(570.148678765293, 571.150336656778),c(1, 0.242224279425413),19,c(15034.6023426675, 3647.11716684624),1.805575245,21,0,1,0,0,0,0,1,816,,,,,,,,,
19.833,,578.204,1.57384759,c(578.204405162941, 579.206028882037),c(1, 0.398991357177384),19,c(6770.06980268186, 2704.7264922259),1.805481835,35,0,5,0,0,0,0,0,829,,,,,,,,,
19.843,,582.153,1.608658592,c(582.153329332232, 583.164669453237),c(1, 0.349035707216533),19,c(6783.90120633444, 2362.9293008309),1.852934457,30,0,4,0,0,0,0,1,839,,,,,,,,,
